arm,cudnn_benchmark,cudnn_deterministic,cudnn_allow_tf32,matmul_allow_tf32,use_det_algos,cudnn_enabled,amp,enr_len,tracker,gpu,rep,seed,loss_step1,grad_sum_step1,loss_step2,weight_sum_after,sec,gpu_name,pid,torch,cudnn
cudnn_tf32_off,True,False,False,False,False,True,False,335,none,3,1,42,49.325626373291016,-14683.19400888939,51.84343719482422,10495.774583667113,3.04,NVIDIA GeForce RTX 3090,86774,2.7.1+cu128,90701
cudnn_tf32_off,True,False,False,False,False,True,False,335,none,0,1,42,49.325626373291016,-14683.184745357028,51.843379974365234,10495.771504946988,3.05,NVIDIA GeForce RTX 3090,86771,2.7.1+cu128,90701
cudnn_tf32_off,True,False,False,False,False,True,False,335,none,3,2,42,49.325626373291016,-14683.202239297487,51.843467712402344,10495.770817048671,2.93,NVIDIA GeForce RTX 3090,88958,2.7.1+cu128,90701
cudnn_tf32_off,True,False,False,False,False,True,False,335,none,2,2,42,49.325626373291016,-14683.19078361257,51.84359359741211,10495.775381538382,2.94,NVIDIA GeForce RTX 3090,88957,2.7.1+cu128,90701
cudnn_tf32_off,True,False,False,False,False,True,False,335,none,1,2,42,49.325626373291016,-14683.179539160974,51.84352111816406,10495.772003858956,2.91,NVIDIA GeForce RTX 3090,88956,2.7.1+cu128,90701
cudnn_tf32_off,True,False,False,False,False,True,False,335,none,0,2,42,49.325626373291016,-14683.18482946431,51.84361267089844,10495.77379773906,2.84,NVIDIA GeForce RTX 3090,88955,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,3,1,42,49.324745178222656,-14072.90561067809,51.81325912475586,10493.982282878842,2.61,NVIDIA GeForce RTX 3090,90337,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,2,1,42,49.324745178222656,-14072.905672914478,51.802467346191406,10493.982282846988,3.49,NVIDIA GeForce RTX 3090,90336,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,1,1,42,49.324745178222656,-14072.90555700399,51.80221176147461,10493.9822818432,3.54,NVIDIA GeForce RTX 3090,90335,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,0,1,42,49.324745178222656,-14072.903156186758,51.80302429199219,10493.98228275502,3.81,NVIDIA GeForce RTX 3090,90334,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,1,2,42,49.324745178222656,-14070.91719822727,51.76490783691406,10493.988806869573,2.52,NVIDIA GeForce RTX 3090,92497,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,2,2,42,49.324745178222656,-14072.903949176964,51.80009460449219,10493.982282709323,2.49,NVIDIA GeForce RTX 3090,92498,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,0,2,42,49.324745178222656,-14072.903336574394,51.81586456298828,10493.982282914534,2.42,NVIDIA GeForce RTX 3090,92496,2.7.1+cu128,90701
matmul_tf32_on,True,False,True,True,False,True,False,335,none,3,2,42,49.3295783996582,-13906.491440031767,51.62340545654297,10494.42905857322,2.38,NVIDIA GeForce RTX 3090,92499,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,3,1,42,49.333248138427734,-14115.378220415945,51.77925109863281,10493.758521565796,2.86,NVIDIA GeForce RTX 3090,93858,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,1,1,42,49.33236312866211,-13929.781855868347,51.754173278808594,10494.405001033207,2.96,NVIDIA GeForce RTX 3090,93856,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,0,1,42,49.332359313964844,-14106.224486637697,51.79332733154297,10493.527461299765,2.68,NVIDIA GeForce RTX 3090,93855,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,2,1,42,49.332359313964844,-14106.224486637697,51.79332733154297,10493.527461299765,3.22,NVIDIA GeForce RTX 3090,93857,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,1,2,42,49.332359313964844,-14106.353259877138,51.78876495361328,10493.527465809542,3.54,NVIDIA GeForce RTX 3090,95058,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,3,2,42,49.33146667480469,-14095.866304292516,51.8431396484375,10493.776809012466,3.87,NVIDIA GeForce RTX 3090,95060,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,0,2,42,49.332359313964844,-14106.355045779954,51.80665588378906,10493.516079534778,3.81,NVIDIA GeForce RTX 3090,95057,2.7.1+cu128,90701
det_algos_on,True,False,True,False,True,True,False,335,none,2,2,42,49.332359313964844,-14106.355045779954,51.80665588378906,10493.516079534778,3.75,NVIDIA GeForce RTX 3090,95059,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,0,1,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,2.66,NVIDIA GeForce RTX 3090,97081,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,3,1,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,3.13,NVIDIA GeForce RTX 3090,97084,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,2,1,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,2.76,NVIDIA GeForce RTX 3090,97083,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,1,1,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,3.1,NVIDIA GeForce RTX 3090,97082,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,3,2,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,2.25,NVIDIA GeForce RTX 3090,97532,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,0,2,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,2.21,NVIDIA GeForce RTX 3090,97529,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,2,2,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,2.22,NVIDIA GeForce RTX 3090,97531,2.7.1+cu128,90701
amp_on,True,False,True,False,False,True,True,335,none,1,2,42,49.3315544128418,nan,55.317771911621094,10389.949550179499,2.21,NVIDIA GeForce RTX 3090,97530,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,0,1,42,49.332359313964844,-14106.030403727036,51.7728385925293,10493.536306721833,2.87,NVIDIA GeForce RTX 3090,97966,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,2,1,42,49.33146667480469,-14099.354951543863,51.830345153808594,10493.768822215381,2.74,NVIDIA GeForce RTX 3090,97968,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,3,1,42,49.332359313964844,-14107.16307190853,51.796791076660156,10493.519295182172,2.86,NVIDIA GeForce RTX 3090,97969,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,1,1,42,49.332359313964844,-14107.153556370882,51.79912185668945,10493.519131497453,2.55,NVIDIA GeForce RTX 3090,97967,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,3,2,42,49.332359313964844,-14107.163038292325,51.800655364990234,10493.519295145814,2.57,NVIDIA GeForce RTX 3090,98443,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,2,2,42,49.332359313964844,-14107.153631986883,51.792755126953125,10493.519131487586,2.59,NVIDIA GeForce RTX 3090,98442,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,0,2,42,49.332359313964844,-14107.177734368022,51.7962646484375,10493.519295113963,2.63,NVIDIA GeForce RTX 3090,98440,2.7.1+cu128,90701
tracker_tb,True,False,True,False,False,True,False,335,tensorboard,1,2,42,49.334293365478516,-14105.387148641596,51.7357177734375,10493.78622697437,2.4,NVIDIA GeForce RTX 3090,98441,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,3,1,42,49.32810974121094,-13885.743452127654,49.65720748901367,10494.264784169383,3.1,NVIDIA GeForce RTX 3090,98834,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,0,1,42,49.332359313964844,-14107.161813026505,49.65454864501953,10493.519294582746,3.09,NVIDIA GeForce RTX 3090,98831,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,1,1,42,49.33165740966797,-14222.220631404854,49.63106918334961,10494.080712114142,2.78,NVIDIA GeForce RTX 3090,98832,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,2,1,42,49.332359313964844,-14107.171367884883,49.655399322509766,10493.519280864153,2.8,NVIDIA GeForce RTX 3090,98833,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,3,2,42,49.332359313964844,-14107.178103889812,49.654701232910156,10493.519295125612,2.68,NVIDIA GeForce RTX 3090,99269,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,1,2,42,49.332359313964844,-14105.878947576228,49.65675735473633,10493.547679405283,2.77,NVIDIA GeForce RTX 3090,99267,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,0,2,42,49.332359313964844,-14107.163450850996,49.65379333496094,10493.519295185908,2.54,NVIDIA GeForce RTX 3090,99266,2.7.1+cu128,90701
enr_vary,True,False,True,False,False,True,False,vary,none,2,2,42,49.332359313964844,-14107.163238032728,49.65498352050781,10493.51929516045,2.55,NVIDIA GeForce RTX 3090,99268,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,0,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.32,NVIDIA GeForce RTX 3090,99666,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,2,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.1,NVIDIA GeForce RTX 3090,99668,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,3,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.14,NVIDIA GeForce RTX 3090,99669,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,1,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.13,NVIDIA GeForce RTX 3090,99667,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,2,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,1.98,NVIDIA GeForce RTX 3090,100067,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,0,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.31,NVIDIA GeForce RTX 3090,100065,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,1,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.25,NVIDIA GeForce RTX 3090,100066,2.7.1+cu128,90701
bm_off__det_on,False,True,True,False,False,True,False,335,none,3,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.4,NVIDIA GeForce RTX 3090,100068,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,2,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,3.0,NVIDIA GeForce RTX 3090,100459,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,1,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,3.22,NVIDIA GeForce RTX 3090,100458,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,0,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,3.07,NVIDIA GeForce RTX 3090,100457,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,3,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,3.12,NVIDIA GeForce RTX 3090,100460,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,1,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.39,NVIDIA GeForce RTX 3090,100858,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,3,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.38,NVIDIA GeForce RTX 3090,100860,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,0,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.36,NVIDIA GeForce RTX 3090,100857,2.7.1+cu128,90701
bm_off__det_algos,False,False,True,False,True,True,False,335,none,2,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.18,NVIDIA GeForce RTX 3090,100859,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,1,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.38,NVIDIA GeForce RTX 3090,101264,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,0,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.36,NVIDIA GeForce RTX 3090,101263,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,2,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.37,NVIDIA GeForce RTX 3090,101265,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,3,1,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.38,NVIDIA GeForce RTX 3090,101266,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,1,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.29,NVIDIA GeForce RTX 3090,101652,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,0,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.35,NVIDIA GeForce RTX 3090,101651,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,3,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.56,NVIDIA GeForce RTX 3090,101654,2.7.1+cu128,90701
bm_off__det_on__det_algos,False,True,True,False,True,True,False,335,none,2,2,42,49.32976150512695,-13749.078503751263,51.84455490112305,10494.700903113871,2.49,NVIDIA GeForce RTX 3090,101653,2.7.1+cu128,90701
