tag,cond_key,scope,dynamic,b,t,prec,tf32_lstm,num_repeat,feature_dim,lstm_n,allow_rnn,gpu,compile_s,ms_step_median,ms_step_mean,peak_GiB,graph_break,dynamo_frames,recompile_in_measure,status,error
axes-full,5fef04c5f7438a91,eager,-,8,48000,fp32,False,6,128,12,False,1,0.0,785.3,790.3,18.8,0,0,0,ok,
axes-full,06ce8040b07dd13c,eager,-,8,48000,bf16-mixed,True,6,128,12,False,1,0.0,574.5,588.1,9.88,0,0,0,ok,
axes-full,23c05ac6d67c2fd3,eager,-,16,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 5.12 MiB is free. Including non-PyTorch memory, this process has 23.54 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.79 GiB is reserved by PyTorch "
axes-full,27d0939e2b2efb38,eager,-,16,48000,bf16-mixed,True,6,128,12,False,1,0.0,686.2,686.3,19.38,0,0,0,ok,
axes-full,d39c8fd92aa94483,separator,False,1,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,55e00216af984104,separator,False,1,48000,bf16-mixed,True,6,128,12,False,1,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,567f7d36d74738af,separator,False,2,48000,fp32,False,6,128,12,False,1,20.2,488.9,478.2,5.0,3,6,0,ok,
axes-full,f9ac65fc95ee5e2f,separator,False,2,48000,bf16-mixed,True,6,128,12,False,1,9.4,429.6,431.1,2.77,3,6,0,ok,
structure-allow-rnn,7c16f82f9213cac9,separator,True,16,48000,fp16-mixed,True,1,128,2,True,3,nan,nan,nan,nan,0,0,0,ERROR,"BackendCompilerFailed: backend='inductor' raised: TypeError: unsupported operand type(s) for divmod(): 'SymInt' and 'int'  Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace (please do this especially if you're reporting a bug to PyTorch). For even more developer context, set TORCH_LOGS=""+dynamo"
axes-full,4a616e581383e5bb,separator,False,4,48000,fp32,False,6,128,12,False,1,8.9,495.1,500.2,9.57,3,6,0,ok,
structure-who,451114ad2e27a933,model,True,16,48000,fp16-mixed,True,6,128,12,False,0,218.1,582.2,584.5,19.34,5,12,0,ok,
